"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","30-Nov-2016","       2259.85","       2265.00","       2294.75","       2242.30","       2275.00","       2276.05","       2272.16","    1722916","          3914748236.95","      88801","    1019099","         59.15"
"TCS","EQ","01-Dec-2016","       2276.05","       2277.00","       2290.00","       2254.05","       2267.00","       2263.45","       2270.78","     561526","          1275100690.75","      48664","     264640","         47.13"
"TCS","EQ","02-Dec-2016","       2263.45","       2258.00","       2270.80","       2205.20","       2229.00","       2221.85","       2233.56","     999016","          2231366449.10","      70395","     643301","         64.39"
"TCS","EQ","05-Dec-2016","       2221.85","       2229.00","       2237.85","       2170.00","       2188.50","       2186.00","       2189.99","    1124763","          2463216081.30","      65000","     713538","         63.44"
"TCS","EQ","06-Dec-2016","       2186.00","       2190.00","       2203.95","       2169.90","       2170.85","       2182.35","       2189.54","     796722","          1744452270.15","      50293","     570135","         71.56"
"TCS","EQ","07-Dec-2016","       2182.35","       2182.20","       2184.45","       2145.65","       2157.90","       2154.55","       2164.31","    1032853","          2235417459.15","      63105","     771170","         74.66"
"TCS","EQ","08-Dec-2016","       2154.55","       2160.50","       2199.00","       2160.00","       2195.00","       2195.75","       2185.77","    1619773","          3540454899.45","      74988","    1378152","         85.08"
"TCS","EQ","09-Dec-2016","       2195.75","       2205.00","       2219.90","       2173.30","       2193.60","       2195.25","       2199.22","     794359","          1746968957.40","      53949","     486502","         61.24"
"TCS","EQ","12-Dec-2016","       2195.25","       2194.80","       2217.60","       2163.00","       2210.00","       2208.20","       2198.33","     655879","          1441837926.90","      43775","     351270","         53.56"
"TCS","EQ","13-Dec-2016","       2208.20","       2218.00","       2218.00","       2183.00","       2210.75","       2200.30","       2199.64","    1073767","          2361901050.20","      58059","     661252","         61.58"
"TCS","EQ","14-Dec-2016","       2200.30","       2214.00","       2224.70","       2189.00","       2208.80","       2207.60","       2207.22","     935183","          2064158980.50","      46920","     678185","         72.52"
"TCS","EQ","15-Dec-2016","       2207.60","       2202.00","       2272.10","       2202.00","       2256.50","       2259.30","       2257.49","    2147705","          4848414375.65","      74707","    1632465","         76.01"
"TCS","EQ","16-Dec-2016","       2259.30","       2277.00","       2290.00","       2252.00","       2284.80","       2282.65","       2275.76","     993615","          2261229516.90","      55542","     701348","         70.59"
"TCS","EQ","19-Dec-2016","       2282.65","       2280.00","       2297.70","       2261.30","       2285.00","       2288.90","       2274.60","     667105","          1517399676.45","      44317","     499245","         74.84"
"TCS","EQ","20-Dec-2016","       2288.90","       2292.00","       2345.00","       2287.05","       2340.00","       2339.30","       2322.69","    1461380","          3394333566.75","      49014","     943670","         64.57"
"TCS","EQ","21-Dec-2016","       2339.30","       2343.80","       2343.80","       2305.60","       2312.00","       2313.60","       2318.50","    1017451","          2358959165.90","      85491","     774330","         76.10"
"TCS","EQ","22-Dec-2016","       2313.60","       2306.00","       2325.00","       2286.20","       2315.60","       2307.70","       2306.01","     934150","          2154160084.70","      47737","     585230","         62.65"
"TCS","EQ","23-Dec-2016","       2307.70","       2300.00","       2317.75","       2278.80","       2285.00","       2288.10","       2295.23","     559477","          1284126905.25","      42554","     331694","         59.29"
"TCS","EQ","26-Dec-2016","       2288.10","       2266.00","       2301.60","       2266.00","       2296.85","       2293.10","       2290.60","     448704","          1027802299.80","      29524","     213160","         47.51"
"TCS","EQ","27-Dec-2016","       2293.10","       2281.50","       2330.00","       2281.50","       2322.80","       2323.40","       2317.79","     647346","          1500410953.80","      42719","     358760","         55.42"
"TCS","EQ","28-Dec-2016","       2323.40","       2326.70","       2349.90","       2303.15","       2305.25","       2313.40","       2335.86","     675209","          1577193933.90","      65267","     420288","         62.25"
"TCS","EQ","29-Dec-2016","       2313.40","       2303.00","       2359.90","       2303.00","       2355.00","       2351.70","       2346.25","     981758","          2303445318.55","      64945","     575262","         58.60"
"TCS","EQ","30-Dec-2016","       2351.70","       2354.90","       2378.60","       2345.65","       2366.55","       2365.55","       2366.64","     702874","          1663448119.20","      44979","     456203","         64.91"
"TCS","EQ","02-Jan-2017","       2365.55","       2366.60","       2375.10","       2352.40","       2360.00","       2361.35","       2365.66","     411566","           973627182.90","      22525","     227980","         55.39"
"TCS","EQ","03-Jan-2017","       2361.35","       2361.25","       2371.70","       2343.30","       2361.00","       2368.25","       2358.03","     737662","          1739431574.75","      42941","     518739","         70.32"
"TCS","EQ","04-Jan-2017","       2368.25","       2369.70","       2388.85","       2358.30","       2377.95","       2379.50","       2374.22","     710033","          1685774752.10","      42460","     495988","         69.85"
"TCS","EQ","05-Jan-2017","       2379.50","       2384.00","       2389.95","       2320.40","       2334.00","       2334.40","       2351.44","    1108202","          2605873965.60","      86774","     718226","         64.81"
"TCS","EQ","06-Jan-2017","       2334.40","       2321.00","       2329.35","       2257.10","       2284.00","       2281.40","       2287.51","    1504948","          3442588742.75","      61868","     898408","         59.70"
"TCS","EQ","09-Jan-2017","       2281.40","       2275.00","       2311.30","       2257.00","       2308.00","       2303.70","       2284.41","     927289","          2118304268.10","      46261","     542682","         58.52"
"TCS","EQ","10-Jan-2017","       2303.70","       2304.00","       2329.80","       2291.50","       2314.00","       2315.35","       2313.17","     766957","          1774098363.60","      66699","     502321","         65.50"
"TCS","EQ","11-Jan-2017","       2315.35","       2315.00","       2329.60","       2280.20","       2325.00","       2324.40","       2308.53","     965648","          2229226689.90","      40140","     571016","         59.13"
"TCS","EQ","12-Jan-2017","       2324.40","       2324.40","       2360.00","       2304.00","       2347.00","       2344.35","       2334.68","    1285187","          3000496260.30","      77928","     532933","         41.47"
"TCS","EQ","13-Jan-2017","       2344.35","       2348.00","       2357.95","       2237.85","       2250.00","       2249.30","       2276.72","    5117790","         11651776941.35","     205696","    2596026","         50.73"
"TCS","EQ","16-Jan-2017","       2249.30","       2250.00","       2273.90","       2228.00","       2261.80","       2258.55","       2255.96","    1682404","          3795428583.60","      89968","    1035083","         61.52"
"TCS","EQ","17-Jan-2017","       2258.55","       2254.90","       2287.80","       2252.80","       2280.00","       2278.75","       2277.11","    1504978","          3427002356.95","      74755","    1211234","         80.48"
"TCS","EQ","18-Jan-2017","       2278.75","       2278.00","       2298.00","       2265.45","       2295.00","       2295.10","       2282.30","    1568287","          3579301575.30","      84460","    1236055","         78.82"
"TCS","EQ","19-Jan-2017","       2295.10","       2295.00","       2295.15","       2282.95","       2290.00","       2291.00","       2289.32","    1125838","          2577400927.30","      49523","     944615","         83.90"
"TCS","EQ","20-Jan-2017","       2291.00","       2287.00","       2300.00","       2265.00","       2288.00","       2285.35","       2283.07","    1018623","          2325591791.10","      51349","     748200","         73.45"
"TCS","EQ","23-Jan-2017","       2285.35","       2265.00","       2313.50","       2259.80","       2307.10","       2306.70","       2298.05","    1159273","          2664065599.25","      79718","     746851","         64.42"
